check_id,feature_id,feature_name,check_type,check_name,score,status,owner,recommended_fix
DQ037,F008,Search Intent Rewrite,completeness,Event coverage reconciles to playback and exposure logs,86.3,watch,analytics engineering,Add exposure dedupe test
DQ038,F008,Search Intent Rewrite,duplicate_exposure,Experiment exposure table has one assignment per user,75.7,fail,analytics engineering,Certify metric definition
DQ039,F008,Search Intent Rewrite,metric_definition,Certified metric definition exists for stakeholder use,90.6,pass,data platform,Add exposure dedupe test
DQ040,F008,Search Intent Rewrite,segment_join,Account and device segment joins match expected coverage,68.5,fail,data platform,Document lineage owner
DQ041,F009,Household Switcher,freshness,Metric mart refresh finished before product standup,86.5,watch,product analytics,Backfill missing events
DQ042,F009,Household Switcher,completeness,Event coverage reconciles to playback and exposure logs,98.1,pass,data platform,Backfill missing events
DQ043,F009,Household Switcher,duplicate_exposure,Experiment exposure table has one assignment per user,83.1,watch,product analytics,Refresh segment mapping
DQ044,F009,Household Switcher,metric_definition,Certified metric definition exists for stakeholder use,97.1,pass,product analytics,Refresh segment mapping
DQ045,F009,Household Switcher,segment_join,Account and device segment joins match expected coverage,82.2,watch,experiment platform,Certify metric definition
DQ046,F010,Watch Party Invite,freshness,Metric mart refresh finished before product standup,86.5,watch,analytics engineering,Backfill missing events
DQ047,F010,Watch Party Invite,completeness,Event coverage reconciles to playback and exposure logs,94.5,pass,product analytics,Document lineage owner
DQ048,F010,Watch Party Invite,duplicate_exposure,Experiment exposure table has one assignment per user,97.0,pass,experiment platform,Add exposure dedupe test
DQ049,F010,Watch Party Invite,metric_definition,Certified metric definition exists for stakeholder use,98.3,pass,analytics engineering,Add exposure dedupe test
DQ050,F010,Watch Party Invite,segment_join,Account and device segment joins match expected coverage,97.3,pass,experiment platform,Refresh segment mapping
DQ051,F011,New Episode Reminder,freshness,Metric mart refresh finished before product standup,85.0,watch,product analytics,Certify metric definition
DQ052,F011,New Episode Reminder,completeness,Event coverage reconciles to playback and exposure logs,89.1,watch,experiment platform,Add exposure dedupe test
DQ053,F011,New Episode Reminder,duplicate_exposure,Experiment exposure table has one assignment per user,89.3,watch,experiment platform,Refresh segment mapping
DQ054,F011,New Episode Reminder,metric_definition,Certified metric definition exists for stakeholder use,83.2,watch,experiment platform,Add exposure dedupe test
DQ055,F011,New Episode Reminder,segment_join,Account and device segment joins match expected coverage,95.1,pass,product analytics,Document lineage owner
DQ056,F012,FAST Channel Guide,freshness,Metric mart refresh finished before product standup,83.0,watch,experiment platform,Backfill missing events
DQ057,F012,FAST Channel Guide,completeness,Event coverage reconciles to playback and exposure logs,98.0,pass,analytics engineering,Add exposure dedupe test
DQ058,F012,FAST Channel Guide,duplicate_exposure,Experiment exposure table has one assignment per user,91.0,pass,product analytics,Add exposure dedupe test
DQ059,F012,FAST Channel Guide,metric_definition,Certified metric definition exists for stakeholder use,83.6,watch,data platform,Refresh segment mapping
DQ060,F012,FAST Channel Guide,segment_join,Account and device segment joins match expected coverage,88.8,watch,experiment platform,Refresh segment mapping
