date,feature_id,feature_name,product_area,device_family,service_tier,customer_segment,active_accounts,sessions,qualified_starts,avg_watch_minutes,conversion_rate,day7_retention_rate,search_success_rate,playback_start_ms,rebuffer_rate,crash_rate,satisfaction_proxy,data_quality_score
2026-01-01,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Sports event viewers,11800,26531,12200,29.4,0.2441,0.2275,0.799,1013,0.0165,0.0041,71.7,94.8
2026-01-01,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Kids co-viewing households,8228,18497,11860,29.15,0.2127,0.3026,0.7658,928,0.0156,0.0036,71.7,95.9
2026-01-01,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Ad-supported explorers,8727,14139,7329,29.17,0.1523,0.1935,0.8065,983,0.0159,0.0026,69.5,96.8
2026-01-01,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Returning binge viewers,3778,6651,2807,43.85,0.2934,0.343,0.6878,647,0.0189,0.0052,78.3,95.7
2026-01-01,F005,Kids Profile Gate,Profiles,Tablet,SVOD,New trial households,4806,6793,3923,20.11,0.1843,0.209,0.7495,663,0.0182,0.0048,71.0,96.8
2026-01-01,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Sports event viewers,4972,7348,3776,31.48,0.2301,0.2714,0.728,846,0.0158,0.0031,73.3,96.8
2026-01-01,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Kids co-viewing households,4269,8961,3999,27.37,0.2284,0.3052,0.6908,808,0.0115,0.0028,73.8,97.7
2026-01-01,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Ad-supported explorers,4821,10807,5876,29.0,0.1381,0.2032,0.7247,824,0.0197,0.0028,69.6,94.5
2026-01-01,F006,Offline Downloads,Playback,Mobile,SVOD,Returning binge viewers,7243,17706,9228,42.79,0.2653,0.3359,0.7281,584,0.0124,0.0062,79.3,97.3
2026-01-01,F006,Offline Downloads,Playback,Mobile,SVOD,New trial households,7441,9920,6906,25.8,0.2074,0.2223,0.6966,583,0.0141,0.0031,74.3,97.6
2026-01-01,F006,Offline Downloads,Playback,Mobile,SVOD,Sports event viewers,6432,12519,6122,28.72,0.2249,0.2596,0.7477,707,0.0194,0.0057,73.1,96.3
2026-01-01,F006,Offline Downloads,Playback,Mobile,SVOD,Kids co-viewing households,6040,7448,3333,29.5,0.219,0.2884,0.743,741,0.0188,0.0061,72.8,95.7
2026-01-01,F006,Offline Downloads,Playback,Mobile,SVOD,Ad-supported explorers,6146,13592,8298,27.84,0.1748,0.184,0.783,773,0.0174,0.006,71.3,97.7
2026-01-01,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Returning binge viewers,7271,8969,5390,38.6,0.24,0.3288,0.6857,880,0.0155,0.0021,74.6,96.8
2026-01-01,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,New trial households,6879,8899,4648,19.84,0.1858,0.2317,0.7963,768,0.0128,0.0023,71.3,95.6
2026-01-01,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Sports event viewers,7533,15145,9535,35.18,0.1966,0.2327,0.7044,965,0.0115,0.0035,72.9,97.7
2026-01-01,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Kids co-viewing households,6645,16016,11276,28.56,0.1882,0.306,0.8081,949,0.0146,0.0023,70.9,98.1
2026-01-01,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Ad-supported explorers,6316,14262,9739,26.17,0.1438,0.1912,0.7772,768,0.0087,0.0017,72.1,90.8
2026-01-01,F008,Search Intent Rewrite,Search,Web,SVOD,Returning binge viewers,3409,5747,2630,38.96,0.2809,0.3619,0.7936,583,0.0086,0.0051,79.9,96.2
2026-01-01,F008,Search Intent Rewrite,Search,Web,SVOD,New trial households,3631,4555,2719,25.78,0.1723,0.1842,0.816,680,0.0071,0.0023,74.0,95.3
2026-01-01,F008,Search Intent Rewrite,Search,Web,SVOD,Sports event viewers,3188,6081,3986,34.66,0.2529,0.267,0.7753,524,0.0101,0.004,78.5,98.0
2026-01-01,F008,Search Intent Rewrite,Search,Web,SVOD,Kids co-viewing households,3592,7995,5452,30.9,0.2237,0.3282,0.7833,658,0.0094,0.0042,76.0,96.4
2026-01-01,F008,Search Intent Rewrite,Search,Web,SVOD,Ad-supported explorers,4128,7438,3134,24.64,0.1754,0.2028,0.7331,626,0.0076,0.0024,74.2,94.7
2026-01-01,F009,Household Switcher,Profiles,Connected TV,SVOD,Returning binge viewers,6089,12018,5562,38.29,0.2748,0.37,0.768,832,0.0162,0.0016,75.8,98.0
2026-01-01,F009,Household Switcher,Profiles,Connected TV,SVOD,New trial households,5877,10881,7798,19.87,0.189,0.1889,0.7708,701,0.0136,0.0011,71.8,95.9
2026-01-01,F009,Household Switcher,Profiles,Connected TV,SVOD,Sports event viewers,6179,13324,8431,30.12,0.2402,0.2584,0.8033,764,0.0089,0.0012,75.5,95.6
2026-01-01,F009,Household Switcher,Profiles,Connected TV,SVOD,Kids co-viewing households,5852,10046,6626,26.98,0.1882,0.2992,0.7151,783,0.0089,0.0028,73.4,97.5
2026-01-01,F009,Household Switcher,Profiles,Connected TV,SVOD,Ad-supported explorers,7503,12269,5304,21.92,0.141,0.1748,0.6926,844,0.0176,0.0039,68.7,97.0
2026-01-01,F010,Watch Party Invite,Social,Mobile,SVOD,Returning binge viewers,3907,6007,3130,36.49,0.2666,0.3292,0.761,576,0.0143,0.0057,77.9,96.1
2026-01-01,F010,Watch Party Invite,Social,Mobile,SVOD,New trial households,3459,5847,3358,23.63,0.2104,0.1962,0.7656,702,0.0215,0.0051,71.3,96.1
2026-01-01,F010,Watch Party Invite,Social,Mobile,SVOD,Sports event viewers,3692,4914,2514,29.08,0.2289,0.2622,0.7541,742,0.0213,0.0066,72.5,98.0
2026-01-01,F010,Watch Party Invite,Social,Mobile,SVOD,Kids co-viewing households,3216,7770,5041,28.58,0.2266,0.31,0.7248,537,0.0191,0.0061,74.6,95.5
2026-01-01,F010,Watch Party Invite,Social,Mobile,SVOD,Ad-supported explorers,3408,4203,2629,30.24,0.158,0.173,0.7068,764,0.0144,0.0066,72.0,95.3
2026-01-01,F011,New Episode Reminder,Notifications,Mobile,SVOD,Returning binge viewers,4706,8450,3593,38.31,0.2376,0.3738,0.8013,579,0.0169,0.0038,76.8,95.2
2026-01-01,F011,New Episode Reminder,Notifications,Mobile,SVOD,New trial households,4624,11278,5810,25.55,0.1748,0.1869,0.7031,710,0.0169,0.004,71.6,97.5
2026-01-01,F011,New Episode Reminder,Notifications,Mobile,SVOD,Sports event viewers,4901,11591,7622,28.63,0.2337,0.2335,0.7391,612,0.017,0.0052,74.6,96.3
2026-01-01,F011,New Episode Reminder,Notifications,Mobile,SVOD,Kids co-viewing households,4759,5884,3948,26.44,0.2271,0.3245,0.7516,595,0.0213,0.0036,73.3,95.0
2026-01-01,F011,New Episode Reminder,Notifications,Mobile,SVOD,Ad-supported explorers,4211,6327,4007,28.83,0.1494,0.1663,0.7115,638,0.0133,0.0052,72.9,95.6
2026-01-01,F012,FAST Channel Guide,Live,Web,Ad Supported,Returning binge viewers,5217,8712,6043,45.27,0.2824,0.3492,0.6973,519,0.0065,0.0021,82.1,96.3
2026-01-01,F012,FAST Channel Guide,Live,Web,Ad Supported,New trial households,5176,9386,5143,24.54,0.1867,0.1847,0.7267,579,0.0098,0.0058,74.4,97.5
2026-01-01,F012,FAST Channel Guide,Live,Web,Ad Supported,Sports event viewers,8355,11778,8266,29.52,0.2424,0.2665,0.7418,638,0.0099,0.0037,76.4,97.2
2026-01-01,F012,FAST Channel Guide,Live,Web,Ad Supported,Kids co-viewing households,5978,8441,5975,29.58,0.2126,0.3033,0.7759,530,0.0151,0.0022,75.3,97.8
2026-01-01,F012,FAST Channel Guide,Live,Web,Ad Supported,Ad-supported explorers,5452,9907,4541,23.95,0.1537,0.1753,0.708,579,0.0089,0.0028,73.6,97.9
2026-01-02,F001,Continue Watching Rail,Home,Connected TV,SVOD,Returning binge viewers,14871,31509,14197,43.97,0.2897,0.3731,0.7081,796,0.0129,0.0042,78.3,96.3
2026-01-02,F001,Continue Watching Rail,Home,Connected TV,SVOD,New trial households,13144,20073,11398,25.31,0.1653,0.1877,0.7135,766,0.012,0.0015,71.9,95.8
2026-01-02,F001,Continue Watching Rail,Home,Connected TV,SVOD,Sports event viewers,14500,18344,8587,31.57,0.2216,0.2394,0.7141,942,0.0136,0.0035,72.7,97.0
2026-01-02,F001,Continue Watching Rail,Home,Connected TV,SVOD,Kids co-viewing households,12977,23791,15156,32.06,0.1943,0.3072,0.7267,914,0.0089,0.0026,73.3,95.1
2026-01-02,F001,Continue Watching Rail,Home,Connected TV,SVOD,Ad-supported explorers,12838,28806,15297,22.15,0.1867,0.1913,0.788,730,0.0143,0.0019,71.7,94.7
2026-01-02,F002,Personalized Top Picks,Home,Connected TV,SVOD,Returning binge viewers,14520,33930,19005,33.93,0.2475,0.3613,0.7824,1002,0.016,0.002,72.8,94.7
2026-01-02,F002,Personalized Top Picks,Home,Connected TV,SVOD,New trial households,15177,35901,21030,20.88,0.2023,0.1883,0.7543,780,0.0155,0.0044,71.2,97.5
2026-01-02,F002,Personalized Top Picks,Home,Connected TV,SVOD,Sports event viewers,15799,35951,17992,33.16,0.197,0.2453,0.7747,841,0.0094,0.0042,74.1,95.7
2026-01-02,F002,Personalized Top Picks,Home,Connected TV,SVOD,Kids co-viewing households,16079,28143,18151,27.0,0.2253,0.3307,0.7901,903,0.0091,0.0036,73.3,97.5
2026-01-02,F002,Personalized Top Picks,Home,Connected TV,SVOD,Ad-supported explorers,14211,33335,22648,27.86,0.1836,0.2,0.7999,990,0.0144,0.0038,70.4,96.8
2026-01-02,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Returning binge viewers,9031,20479,10839,40.22,0.2792,0.3224,0.7773,680,0.017,0.0048,77.4,94.8
2026-01-02,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,New trial households,6942,15981,9429,24.48,0.1587,0.2026,0.7026,746,0.0184,0.0035,70.3,96.3
2026-01-02,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Sports event viewers,7688,13534,6105,33.14,0.2342,0.2324,0.7991,605,0.0174,0.0048,75.4,96.9
2026-01-02,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Kids co-viewing households,6973,10410,5601,28.39,0.2093,0.3312,0.7011,711,0.0177,0.0052,72.9,98.2
2026-01-02,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Ad-supported explorers,8228,18171,9738,25.96,0.1919,0.2135,0.7525,655,0.0201,0.0065,71.9,96.2
2026-01-02,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Returning binge viewers,10937,13799,6650,44.73,0.2659,0.36,0.7071,741,0.0138,0.0049,78.0,96.5
2026-01-02,F004,Sports Live Hub,Live,Connected TV,Ad Supported,New trial households,10755,13491,8885,21.98,0.1824,0.2071,0.7361,779,0.0172,0.0033,70.5,96.1
2026-01-02,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Sports event viewers,18010,33347,22721,30.6,0.2486,0.2446,0.7163,889,0.0165,0.0042,73.1,97.3
2026-01-02,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Kids co-viewing households,11153,15486,6703,27.21,0.202,0.3259,0.7204,977,0.0117,0.0043,71.5,97.6
2026-01-02,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Ad-supported explorers,12909,20338,14059,24.62,0.1946,0.1899,0.7251,783,0.009,0.0018,73.1,96.1
2026-01-02,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Returning binge viewers,5253,8222,5431,35.97,0.2936,0.3647,0.7612,831,0.0175,0.0037,75.6,96.1
2026-01-02,F005,Kids Profile Gate,Profiles,Tablet,SVOD,New trial households,6163,11262,5380,25.87,0.1865,0.1968,0.7436,629,0.0132,0.0025,73.5,94.4
2026-01-02,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Sports event viewers,5702,10468,6884,33.41,0.2335,0.2466,0.7269,676,0.0135,0.0027,75.7,96.8
2026-01-02,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Kids co-viewing households,5894,13145,6159,30.24,0.1799,0.3204,0.7182,736,0.0183,0.0035,72.1,95.3
2026-01-02,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Ad-supported explorers,4740,11478,6147,27.36,0.1773,0.1911,0.7892,606,0.0122,0.003,73.9,96.0
2026-01-02,F006,Offline Downloads,Playback,Mobile,SVOD,Returning binge viewers,7720,18270,7855,40.78,0.2574,0.3503,0.7357,535,0.0219,0.004,77.1,95.7
2026-01-02,F006,Offline Downloads,Playback,Mobile,SVOD,New trial households,8236,15758,8345,18.94,0.197,0.2132,0.7857,619,0.014,0.0059,72.4,98.0
2026-01-02,F006,Offline Downloads,Playback,Mobile,SVOD,Sports event viewers,8856,19029,11971,34.93,0.2058,0.2731,0.6923,590,0.0143,0.0036,75.8,96.8
2026-01-02,F006,Offline Downloads,Playback,Mobile,SVOD,Kids co-viewing households,9390,19588,11263,32.5,0.2307,0.3241,0.6872,566,0.0212,0.0038,74.7,97.6
2026-01-02,F006,Offline Downloads,Playback,Mobile,SVOD,Ad-supported explorers,9071,18890,8305,25.79,0.1636,0.2033,0.6828,700,0.0197,0.0068,70.8,96.6
2026-01-02,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Returning binge viewers,9016,18435,11051,37.45,0.2768,0.3623,0.6955,799,0.0082,0.0011,77.7,96.9
2026-01-02,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,New trial households,8218,14844,6947,20.52,0.1951,0.2101,0.7536,721,0.0159,0.0044,71.4,97.2
2026-01-02,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Sports event viewers,7984,14646,8400,29.33,0.23,0.251,0.7007,731,0.0093,0.0049,75.3,96.4
2026-01-02,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Kids co-viewing households,8565,19469,13745,28.58,0.1764,0.2949,0.7179,692,0.0084,0.001,74.2,96.8
2026-01-02,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Ad-supported explorers,10481,15718,10803,27.36,0.1378,0.1697,0.7774,995,0.0119,0.0014,69.5,92.3
2026-01-02,F008,Search Intent Rewrite,Search,Web,SVOD,Returning binge viewers,4067,6192,3379,40.06,0.2651,0.3609,0.783,692,0.0114,0.0026,78.1,96.5
2026-01-02,F008,Search Intent Rewrite,Search,Web,SVOD,New trial households,4500,8689,4220,25.11,0.2112,0.2073,0.824,542,0.0101,0.0055,75.5,96.8
2026-01-02,F008,Search Intent Rewrite,Search,Web,SVOD,Sports event viewers,5200,12313,8626,29.57,0.2122,0.2631,0.7367,702,0.0087,0.0045,75.2,97.4
2026-01-02,F008,Search Intent Rewrite,Search,Web,SVOD,Kids co-viewing households,4256,9584,6374,31.94,0.2009,0.2848,0.7736,560,0.0143,0.0042,75.4,96.6
2026-01-02,F008,Search Intent Rewrite,Search,Web,SVOD,Ad-supported explorers,4116,5439,2610,23.55,0.1758,0.213,0.7805,712,0.0096,0.0029,72.9,97.6
2026-01-02,F009,Household Switcher,Profiles,Connected TV,SVOD,Returning binge viewers,8054,13116,6566,45.75,0.2709,0.3296,0.7667,898,0.0132,0.0031,77.1,95.9
2026-01-02,F009,Household Switcher,Profiles,Connected TV,SVOD,New trial households,8790,20995,8889,25.65,0.1843,0.2264,0.7109,971,0.0102,0.0043,71.1,96.8
2026-01-02,F009,Household Switcher,Profiles,Connected TV,SVOD,Sports event viewers,8000,16821,10750,36.11,0.2317,0.2332,0.7143,890,0.0107,0.0012,74.9,97.9
2026-01-02,F009,Household Switcher,Profiles,Connected TV,SVOD,Kids co-viewing households,8637,10804,5693,28.64,0.2227,0.3125,0.8083,938,0.0139,0.0016,72.2,96.6
2026-01-02,F009,Household Switcher,Profiles,Connected TV,SVOD,Ad-supported explorers,9630,21566,11080,25.79,0.1361,0.1654,0.7877,747,0.0115,0.004,71.4,97.8
2026-01-02,F010,Watch Party Invite,Social,Mobile,SVOD,Returning binge viewers,4481,8076,4959,33.42,0.2538,0.3295,0.7762,653,0.017,0.0033,75.7,96.7
2026-01-02,F010,Watch Party Invite,Social,Mobile,SVOD,New trial households,4071,6400,3214,19.38,0.1585,0.1972,0.8049,654,0.0139,0.0061,71.2,95.6
2026-01-02,F010,Watch Party Invite,Social,Mobile,SVOD,Sports event viewers,3910,7276,4973,33.95,0.2467,0.2219,0.8037,751,0.0211,0.0042,73.8,96.5
2026-01-02,F010,Watch Party Invite,Social,Mobile,SVOD,Kids co-viewing households,4375,9904,4540,32.58,0.2062,0.3234,0.8055,637,0.0167,0.0035,74.4,97.6
2026-01-02,F010,Watch Party Invite,Social,Mobile,SVOD,Ad-supported explorers,3954,9281,4210,21.89,0.1466,0.1865,0.7318,687,0.0168,0.0066,70.4,96.1
2026-01-02,F011,New Episode Reminder,Notifications,Mobile,SVOD,Returning binge viewers,6962,15578,6904,36.06,0.2626,0.3314,0.7322,684,0.0151,0.0045,76.6,95.8
2026-01-02,F011,New Episode Reminder,Notifications,Mobile,SVOD,New trial households,5436,7070,4501,24.88,0.1857,0.219,0.7293,570,0.0189,0.0047,72.6,95.4
2026-01-02,F011,New Episode Reminder,Notifications,Mobile,SVOD,Sports event viewers,5935,12001,6735,30.16,0.1986,0.2221,0.7709,683,0.0133,0.0058,74.1,98.0
2026-01-02,F011,New Episode Reminder,Notifications,Mobile,SVOD,Kids co-viewing households,5516,10785,6492,25.99,0.1973,0.3313,0.7975,637,0.0142,0.005,73.5,96.8
2026-01-02,F011,New Episode Reminder,Notifications,Mobile,SVOD,Ad-supported explorers,6154,8563,3747,24.34,0.1787,0.164,0.7178,605,0.0161,0.0063,72.6,96.8
2026-01-02,F012,FAST Channel Guide,Live,Web,Ad Supported,Returning binge viewers,6170,14663,7150,38.86,0.2366,0.3629,0.7612,679,0.0117,0.0035,77.1,97.9
2026-01-02,F012,FAST Channel Guide,Live,Web,Ad Supported,New trial households,7968,10117,5422,23.34,0.1762,0.2094,0.7745,593,0.0111,0.0038,73.5,95.0
2026-01-02,F012,FAST Channel Guide,Live,Web,Ad Supported,Sports event viewers,10840,17097,7333,31.9,0.2117,0.2607,0.7625,496,0.0078,0.0041,77.6,94.5
2026-01-02,F012,FAST Channel Guide,Live,Web,Ad Supported,Kids co-viewing households,6849,11894,7793,29.64,0.2275,0.3022,0.7557,570,0.0118,0.0032,76.2,95.8
2026-01-02,F012,FAST Channel Guide,Live,Web,Ad Supported,Ad-supported explorers,6177,9113,4722,23.54,0.1853,0.1833,0.7557,622,0.0078,0.0053,74.3,97.8
2026-01-03,F001,Continue Watching Rail,Home,Connected TV,SVOD,Returning binge viewers,15299,28575,17055,34.38,0.2608,0.3361,0.7237,946,0.0098,0.0016,75.1,94.5
2026-01-03,F001,Continue Watching Rail,Home,Connected TV,SVOD,New trial households,14680,29965,16023,26.32,0.1988,0.2315,0.738,865,0.0107,0.003,72.4,95.5
2026-01-03,F001,Continue Watching Rail,Home,Connected TV,SVOD,Sports event viewers,13672,28993,17806,27.87,0.212,0.2585,0.7658,958,0.0099,0.0027,72.4,94.6
2026-01-03,F001,Continue Watching Rail,Home,Connected TV,SVOD,Kids co-viewing households,15125,25600,12337,28.7,0.1888,0.3082,0.8015,719,0.0173,0.0047,72.4,97.0
2026-01-03,F001,Continue Watching Rail,Home,Connected TV,SVOD,Ad-supported explorers,16155,28352,14992,22.6,0.1593,0.1939,0.6848,712,0.0156,0.0019,70.9,97.2
2026-01-03,F002,Personalized Top Picks,Home,Connected TV,SVOD,Returning binge viewers,15164,35013,19312,46.34,0.265,0.336,0.8073,935,0.0095,0.0012,77.5,97.9
2026-01-03,F002,Personalized Top Picks,Home,Connected TV,SVOD,New trial households,12214,23637,12396,24.89,0.1986,0.2251,0.7428,843,0.0178,0.0042,70.8,96.4
2026-01-03,F002,Personalized Top Picks,Home,Connected TV,SVOD,Sports event viewers,12904,19210,12757,30.26,0.221,0.2307,0.7328,803,0.0107,0.0034,74.3,94.4
2026-01-03,F002,Personalized Top Picks,Home,Connected TV,SVOD,Kids co-viewing households,15651,27260,18446,27.82,0.1803,0.2873,0.8095,977,0.0141,0.0011,70.5,98.1
2026-01-03,F002,Personalized Top Picks,Home,Connected TV,SVOD,Ad-supported explorers,15033,34130,16171,30.16,0.158,0.2038,0.7045,819,0.0121,0.0011,72.1,94.8
2026-01-03,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Returning binge viewers,8400,11210,5235,42.62,0.249,0.3683,0.7031,630,0.0165,0.0036,77.5,95.9
2026-01-03,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,New trial households,8023,10430,5936,24.21,0.1674,0.2166,0.7535,659,0.0122,0.0036,72.6,96.8
2026-01-03,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Sports event viewers,8404,20178,10014,29.2,0.2175,0.2735,0.6849,652,0.0123,0.0046,75.0,95.4
2026-01-03,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Kids co-viewing households,8052,18968,13128,32.85,0.2148,0.3229,0.6985,566,0.0122,0.007,76.3,97.8
2026-01-03,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Ad-supported explorers,8354,13575,9292,24.55,0.1488,0.1686,0.8096,772,0.0176,0.0033,70.0,95.2
2026-01-03,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Returning binge viewers,11498,18599,10512,39.87,0.2463,0.3466,0.7259,946,0.0097,0.0031,75.7,96.6
2026-01-03,F004,Sports Live Hub,Live,Connected TV,Ad Supported,New trial households,11355,23296,16645,22.76,0.2074,0.1881,0.7663,867,0.0148,0.0031,71.1,94.5
2026-01-03,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Sports event viewers,17940,31109,19701,32.08,0.2181,0.2601,0.7188,739,0.0109,0.002,75.1,96.8
2026-01-03,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Kids co-viewing households,11564,22126,15085,33.04,0.1964,0.2902,0.7969,815,0.014,0.0014,73.3,96.4
2026-01-03,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Ad-supported explorers,10460,21411,11255,28.18,0.1767,0.1825,0.7182,996,0.0085,0.0024,71.5,94.9
2026-01-03,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Returning binge viewers,5115,7811,5050,37.3,0.2888,0.3416,0.7295,712,0.0193,0.0028,76.4,97.2
2026-01-03,F005,Kids Profile Gate,Profiles,Tablet,SVOD,New trial households,5707,11288,7311,21.27,0.177,0.1982,0.7307,669,0.0114,0.0056,72.5,95.8
2026-01-03,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Sports event viewers,6211,11705,5968,28.5,0.2185,0.2201,0.7843,584,0.0168,0.0027,74.5,97.1
2026-01-03,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Kids co-viewing households,5537,11319,5580,33.47,0.2229,0.3344,0.798,771,0.0123,0.0033,74.9,97.1
2026-01-03,F005,Kids Profile Gate,Profiles,Tablet,SVOD,Ad-supported explorers,5476,9251,4516,27.18,0.1904,0.206,0.7535,676,0.0141,0.0032,73.2,96.6
2026-01-03,F006,Offline Downloads,Playback,Mobile,SVOD,Returning binge viewers,9040,18879,10382,38.48,0.2925,0.3724,0.7907,679,0.0159,0.0047,77.7,96.2
2026-01-03,F006,Offline Downloads,Playback,Mobile,SVOD,New trial households,9342,13462,5694,21.97,0.1591,0.2317,0.7242,603,0.0126,0.0052,72.4,98.0
2026-01-03,F006,Offline Downloads,Playback,Mobile,SVOD,Sports event viewers,9285,16533,10758,31.46,0.2356,0.2602,0.6956,673,0.0172,0.0033,74.6,96.0
2026-01-03,F006,Offline Downloads,Playback,Mobile,SVOD,Kids co-viewing households,8000,15261,6716,24.26,0.1969,0.306,0.6816,680,0.0216,0.005,71.2,97.3
2026-01-03,F006,Offline Downloads,Playback,Mobile,SVOD,Ad-supported explorers,8320,12143,5554,29.63,0.1899,0.1829,0.7463,693,0.0133,0.0044,73.7,95.1
2026-01-03,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,Returning binge viewers,9234,22480,14296,44.85,0.2544,0.3427,0.6982,692,0.0095,0.0024,79.1,97.2
2026-01-03,F007,Ad Load Balancer,Ads,Connected TV,Ad Supported,New trial households,8787,15760,8373,25.1,0.172,0.2137,0.7459,739,0.0155,0.0035,71.5,95.1
